NÓMINA,apvCurso,apvFecIni,apvFecTer,apvPlantel,apvPromedio,apvTitulo,TERMINADO
562823,LICENCIATURA EN ENFERMERIA,2008-01-01,2015-01-01,UDG,85.56,Pasante,SI
555854,MAESTRIA EN PROCESOS Y EXPRESION GRAFICA EN LA PROYECCION ARQUITECTONICA URBANA,2008-04-20,2008-04-29,UDG,0.0,Titulo,SI
565868,,2009-05-26,2009-05-27,UDG,0.0,Titulo,SI
565868,,2009-04-16,2009-05-20,UDG,0.0,Titulo,SI
567110,DERECHO,1972-07-06,1977-07-06,UDG,0.0,Titulo,SI
567756,,1990-07-14,1994-07-14,UDG,0.0,Titulo,SI
566025,TURISMO,2001-07-14,2005-07-14,UDG,0.0,Pasante,SI
567213,ESTUDOS POLITICOS Y GOBIERNO,2004-08-05,2008-08-05,UDG,0.0,Titulo,SI
566472,NEGOCIOS INTERNACIONALES,2001-08-05,2005-08-05,UDG,0.0,Titulo,SI
568133,MEDICO ,1985-08-10,1991-08-10,UDG,0.0,Titulo,SI
567804,DERECHO,2000-08-18,2005-08-18,UDG,0.0,Certificado,SI
568858,CONTADURIA PUBLICA,2008-08-19,2012-08-19,UDG,0.0,Titulo,SI
567378,INGENIERIA QUIMICA,2006-08-23,2011-08-23,UDG,0.0,Titulo,SI
570365,MEDICO CIRUJANO Y  PARTERO,1995-08-29,2001-08-29,UDG,0.0,Titulo,SI
567684,,2005-08-30,2010-08-30,UDG,0.0,Titulo,SI
572497,ARTES PLASTICAS,2004-09-02,2008-09-02,UDG,0.0,Titulo,SI
559805,CIUDAD TERRITORIO Y SUSTENTABILIDAD,2014-12-16,2016-12-16,UDG,0.0,Titulo,SI
4593221,Preparatoria,1993-10-30,1995-10-30,UDG,0.0,Certificado,SI
4597210,"MOVILIDAD URBANA, TRANSPORTE Y TERRITORIO ",2013-11-09,2018-11-09,UDG,0.0,Titulo,SI
568906,ING. CIVIL,2005-08-14,2010-08-14,UDG,0.0,Titulo,SI
568487,ARQUITECTO,1981-08-12,1986-08-13,UDG,0.0,Titulo,SI
570396,NUTRICION     ,2009-08-12,2013-08-12,UDG,0.0,Titulo,SI
568597,MEDICO CIRUJANO Y PARTERO,2010-08-11,2015-08-12,UDG,0.0,Titulo,SI
568250,,2000-09-06,2004-09-06,UDG,0.0,Pasante,SI
568494,CULTURA FISICA Y DEPORTES,1996-08-23,1999-08-23,UDG,0.0,Titulo,SI
568683,ENFERMERIA ,2012-08-26,2015-08-26,UDG,0.0,Certificado,SI
568896,ENFERMERIA ,2012-08-04,2014-08-04,UDG,0.0,Certificado,SI
570080,MEDICO CIRUJANO PARTERO,2000-08-04,2006-08-04,UDG,0.0,Titulo,SI
568638,,2014-08-06,2016-10-06,UDG,0.0,Titulo,SI
569187,TRABAJO SOCIAL,2005-08-06,2008-08-06,UDG,0.0,Titulo,SI
568841,MEDICO CIRUJANO,1996-08-14,2002-08-14,UDG,0.0,Titulo,SI
545345,INFORMATICA,1998-08-17,2002-08-17,UDG,0.0,Certificado,SI
569101,,2002-08-19,2005-08-19,UDG,0.0,Certificado,SI
569053,,1980-08-19,1983-08-19,UDG,0.0,Certificado,SI
565033,ADMINISTRACION,2013-08-20,2016-08-20,UDG,0.0,Titulo,SI
569039,CIRUJANO DENTISTA ,2000-08-18,2005-08-18,UDG,0.0,Titulo,SI
570499,MERCADOTECNIA,2005-10-24,2009-10-24,UDG,0.0,Titulo,SI
570554,CIRUJANO DENTISTA ,2004-10-25,2008-10-25,UDG,0.0,Titulo,SI
570286,DERECHO,2003-08-27,2007-08-27,UDG,0.0,Titulo,SI
570303,DERECHO,2004-08-27,2007-08-27,UDG,0.0,Titulo,SI
570327,ING. COMPUTACION,2007-08-27,2012-08-27,UDG,0.0,Certificado,SI
569510,ADMON.,2010-08-04,2015-08-04,UDG,0.0,Certificado,SI
569620,ENFERMERIA ,2011-09-07,2014-11-07,UDG,0.0,Titulo,SI
570341,MUSICA,1995-11-15,1999-11-15,UDG,0.0,Certificado,SI
570183,,2000-11-24,2004-11-26,UDG,0.0,Titulo,SI
569974,MEDICO CIRUJANO,1990-08-01,1995-08-01,UDG,0.0,Titulo,SI
570217,CIENCIAS EN INGENIERIA ELECTRONICA Y C.,2008-12-01,2011-12-01,UDG,0.0,Titulo,SI
570389,,2009-01-05,2012-01-05,UDG,0.0,Certificado,SI
572404,LETRAS HISPANICAS,1998-01-06,2003-01-06,UDG,0.0,Titulo,SI
576857,,2005-01-09,2010-01-09,UDG,0.0,Titulo,SI
541590,,2013-01-10,2015-01-10,UDG,0.0,Certificado,SI
570815,CONTADURIA PUBLICA,2000-01-13,2004-01-13,UDG,0.0,Titulo,SI
571230,LICENCIATURA EN EDUCACION,2013-01-13,2015-01-13,UDG,0.0,Titulo,SI
571285,MEDICO CIRUJANO PARTERO,2010-01-17,2015-01-17,UDG,0.0,Titulo,SI
570891,,2005-01-18,2008-01-18,UDG,0.0,Certificado,SI
570949,HISTORIA,2005-01-19,2011-01-19,UDG,0.0,Titulo,SI
571137,TURISMO,2003-01-24,2007-01-24,UDG,0.0,Titulo,SI
572040,DERECHO,1986-01-24,1991-01-24,UDG,0.0,Certificado,SI
572600,PSICOLOGIA,1991-01-25,1996-01-25,UDG,0.0,Titulo,SI
577227,CIRUJANO DENTISTA ,2006-01-25,2010-01-25,UDG,0.0,Titulo,SI
572466,NUTRICION     ,2002-01-27,2006-01-27,UDG,0.0,Titulo,SI
571182,,2012-01-30,2015-01-30,UDG,0.0,Constancia,SI
572095,L.C.F.D,1995-02-23,1999-02-23,UDG,0.0,Titulo,SI
571773,MEDICO CIRUJANO,2010-02-27,2016-02-27,UDG,0.0,Titulo,SI
3077896,ING. COMUNICACIONES Y ELECTRONICA,2009-03-10,2014-03-10,UDG,0.0,Titulo,SI
572428,TRABAJO SOCIAL,2011-03-15,2015-03-15,UDG,0.0,Titulo,SI
541071,LICENCIATURA EN ADMINISTRACION,2017-03-12,2017-03-13,UDG,0.0,Pasante,SI
572394,,2003-03-21,2006-03-21,UDG,0.0,Certificado,SI
573197,LIC. EN CONTADURIA PUBLICA,2006-03-31,2010-03-31,UDG,98.0,Titulo,NO
572648,,1995-03-23,1998-03-23,UDG,0.0,Certificado,SI
577344,,2012-03-23,2015-03-23,UDG,0.0,Certificado,SI
573788,COMUNICAION Y ELECTRONICA,1999-03-27,2004-03-27,UDG,0.0,Titulo,SI
574309,,1984-03-19,1988-03-25,UDG,0.0,Titulo,SI
573300,,2012-04-04,2016-04-04,UDG,0.0,Titulo,SI
573403,,2012-04-04,2016-04-04,UDG,0.0,Certificado,SI
572624,,2012-03-30,2015-03-30,UDG,0.0,Certificado,SI
573331,,2014-05-05,2016-05-05,UDG,0.0,Certificado,SI
573252,,2014-05-09,2017-05-09,UDG,0.0,Certificado,SI
573063,,2009-05-09,2013-05-09,UDG,0.0,Titulo,SI
575229,FILOSOFIA,2010-05-10,2014-05-10,UDG,0.0,Titulo,SI
574598,PSICOLOGIA,1999-05-11,2003-05-11,UDG,0.0,Certificado,SI
573348,,2005-05-12,2008-05-12,UDG,0.0,Certificado,SI
574763,,2012-05-17,2015-05-17,UDG,0.0,Certificado,SI
574770,,2012-05-17,2015-05-17,UDG,0.0,Certificado,SI
574718,GENETICA,2011-05-22,2014-05-22,UDG,0.0,Titulo,SI
573733,MEDICO CIRUJANO,2002-05-24,2008-05-24,UDG,0.0,Titulo,SI
574550,Q.F.B,2012-05-25,2016-05-25,UDG,0.0,Certificado,SI
573850,,1987-05-31,1989-05-31,UDG,0.0,Certificado,SI
574127,NEGOCIOS Y ESTUDIOS ECONOMICOS,1992-06-22,1995-06-22,UDG,0.0,Titulo,SI
573771,,1981-06-01,1985-06-01,UDG,0.0,Certificado,SI
573867,QUMICO,2012-06-02,2016-06-02,UDG,0.0,Certificado,SI
573874,,2006-06-05,2009-06-05,UDG,0.0,Certificado,SI
575126,ADMINISTRACION EN NEGOCIOS,2004-06-06,2007-06-06,UDG,0.0,Titulo,SI
574244,,2009-06-06,2012-06-06,UDG,0.0,Certificado,SI
574385,ANESTESIOLOGIA,2006-06-07,2009-06-07,UDG,0.0,Diploma,SI
573881,MEDICO VETERINAO ZOOTECNISTA,1995-06-08,1998-06-08,UDG,0.0,Titulo,SI
575896,ADMINISTRACION DE NEGOCIOS,2010-06-19,2012-06-19,UDG,0.0,Titulo,SI
577210,,2007-06-13,2010-06-13,UDG,0.0,Certificado,SI
576039,MEDICO CIRUJANO,2007-06-14,2012-06-14,UDG,0.0,Titulo,SI
574309,CONTROL DE LA CONTAMINACION AMBIENTAL,2008-06-14,2011-06-14,UDG,0.0,Titulo,SI
577502,,,,UDG,0.0,Certificado,SI
575023,DISEÑO PARA LA COMUNICAION GRAFICA,2007-06-26,2011-06-26,UDG,0.0,Titulo,SI
574299,,1979-06-30,1982-06-30,UDG,0.0,Certificado,SI
579184,,2014-06-29,2017-06-29,UDG,0.0,Certificado,SI
574639,,2007-07-03,2010-07-03,UDG,0.0,Certificado,SI
574873,CULTURA FISICA DEL DEPORTE,2012-07-03,2016-07-03,UDG,0.0,Certificado,SI
574866,PSICOLOGIA,2011-07-03,2016-07-03,UDG,0.0,Titulo,SI
574787,,2008-07-03,2011-07-03,UDG,0.0,Certificado,SI
574660,MEDICO ,2006-07-04,2012-07-04,UDG,0.0,Titulo,SI
575762,,2004-07-04,2008-07-04,UDG,0.0,Titulo,SI
575047,ADMON DE EMPRESAS ,2010-07-06,2014-07-06,UDG,0.0,Titulo,SI
576228,Q.F.B,1993-07-07,1997-07-07,UDG,0.0,Titulo,SI
575377,,2009-07-07,2014-07-07,UDG,0.0,Titulo,SI
576280,PROSTODONCIA,2009-07-06,2011-07-06,UDG,0.0,Diploma,SI
575157,LETRAS HISPANICAS,2008-07-07,2014-07-07,UDG,0.0,Titulo,SI
4507475,ORTOPEDIA,2005-01-19,2009-01-19,UDG,0.0,Titulo,SI
559207,Preparatoria,2012-07-15,2012-07-16,UDG,8.3,Certificado,SI
549767,,1995-12-01,1997-12-01,UAG UNICO,0.0,Certificado,SI
540096,,2008-08-01,2012-07-31,PREPARATOPRIA 10,0.0,Certificado,SI
548342,LIC. EN DERECHO,2007-11-06,2011-11-06,LAMAR,0.0,Pasante,SI
544171,SECRETARIA EJECUTIVA,,,LAMAR,0.0,Certificado,SI
557773,LIC. NEGOCIOS INTERNACIONALES,2012-01-26,2012-01-27,LAMAR,0.0,Titulo,SI
562971,LIC. EN CIENCIAS DE LA COMUNICACION,2010-07-30,2010-07-31,LAMAR,0.0,Pasante,SI
568023,,2006-09-01,2010-09-01,LAMAR,0.0,Titulo,SI
567653,CIRUJANO DENTISTA ,2002-07-14,2006-07-14,LAMAR,0.0,Titulo,SI
4535674,LIC. EN TURISMO,2006-02-01,2009-02-01,LAMAR,0.0,Certificado,SI
577193,LIC. EN PSICOLOGIA,2003-11-29,2006-11-29,LAMAR,0.0,Titulo,SI
577825,,2008-09-18,2012-09-18,LAMAR,0.0,Constancia,SI
4579647,ENFERMERA PEDIATRICA,2012-09-10,2018-09-10,LAMAR,0.0,Titulo,SI
4635426,ENFERMERA AUXILIAR,2013-03-04,2014-02-04,DIF JALISCO,0.0,Diploma,SI
554927,,2005-08-07,2008-12-02,PREP#9,0.0,Certificado,SI
559427,ING. EN SISTEMAS PECUARIOS,2006-10-29,2010-10-29,U.D G.,0.0,Titulo,SI
536529,LIC. MEDICO CIRUJANO Y PARTERO,1990-05-07,1990-05-08,U.D G.,0.0,Titulo,SI
542616,ESPECIALIDAD EN MEDICINA DE REHABILITACION,2014-06-18,2014-06-19,U.D G.,0.0,Titulo,SI
544793,ESPECIALIDAD EN CIRGIAZ MAXILOFACIAL,2006-11-05,2006-11-06,U.D G.,0.0,Titulo,SI
565167,LIC. ARTES VISUALES ,2002-05-12,2006-05-12,U.D G.,0.0,Titulo,SI
566331,LIC.EN INGENIERIA EN COMUNCACIONES Y ELECTRONICA,1997-04-26,2002-04-26,U.D G.,0.0,Titulo,SI
547271, CERTIFICADO,2001-08-06,2004-08-06,CENTRO BACHILLERATO TECNOLOGICO,9.2,Certificado,SI
540436,,1997-07-01,2003-08-31,ISABEL LA CATOLICA,0.0,Certificado,SI
555098,,,,UNIV. AUT. GUAD,0.0,Titulo,SI
559506,EMBALSAMIENTO DE CADAVERES HUMANOS,,,UNIVERSIDAD VERACRUZANA,9.0,Certificado,SI
541136,,2003-08-10,2007-07-20,UNIVERSIDAD VERACRUZANA,9.89,Titulo,SI
564467,,1991-08-01,1993-12-01,UNIVERSIDAD VERACRUZANA,8.6,Trunco,NO
562658,LIC. MEDICO CIIRUJANO,1974-04-04,1978-04-04,UNIVERSIDAD VERACRUZANA,0.0,Titulo,NO
4574910,ESPECIALIDAD EN SALUD PUBLICA,1997-08-16,1998-08-16,UNIVERSIDAD VERACRUZANA,8.0,Titulo,SI
4574910,LIC.MEDICO CIRUJANO,1982-08-16,1987-08-16,UNIVERSIDAD VERACRUZANA,8.4,Titulo,NO
4561507,ING. AGRONOMO,2004-06-26,2009-06-26,UNIVERSIDAD VERACRUZANA,0.0,Titulo,SI
4563543,,2000-09-17,2015-02-17,UNIVERSIDAD VERACRUZANA,9.2,Titulo,SI
4535894,LENGUA INGLESA,2010-02-22,2015-02-22,UNIVERSIDAD VERACRUZANA,0.0,Titulo,SI
4703413,Ingenieria Electrónica Especialidad Sistemas Digitales,2000-09-04,2006-07-07,"UNIV,.AUT.METROPOLITANA",0.0,Titulo,SI
1752144,GERIATRIA,2012-03-01,2017-02-28,UNIV. AUTONOMA DE CIAHUILA ,0.0,Titulo,SI
547185,MAESTRIA EN EDUCACION CON INTERVENCION EN LA PRACTICA EDUCATIVA,2016-11-25,2016-11-26,CENTRO DE ESTUDIOS DE PSTGRADO,0.0,Titulo,SI
570310,,2010-08-08,2013-08-08,YERMO Y PARES,0.0,Certificado,SI
4624437,BIOLOGIA DE LA CONDUCTA ,,,UAT,0.0,Certificado,SI
572105,LICENCIATURA EN CIENCIAS DE LA EDUCACION,2010-03-14,2014-03-14,UAT,0.0,Pasante,SI
564618,Preparatoria,2009-08-01,2012-07-16,PREPA REGIONAL DE AMECA,79.82,Certificado,SI
4682338,,2009-08-01,2012-08-01,INSTITUTO DE LA VERACRUZ,0.0,Certificado,SI
4682338,,2003-08-01,2009-08-01,INSTITUTO DE LA VERACRUZ,0.0,Certificado,SI
3321494,,2012-08-01,2015-06-01,INSTITUTO DE LA VERACRUZ,8.1,Certificado,SI
4679918,,1976-09-05,1982-09-05,PRIMARIA V. GUERRERO,0.0,Certificado,SI
4674229,BACHILLERATO GENERAL POR COMPETENCIAS,2015-08-24,2018-07-16,PREPA 3,0.0,Certificado,SI
4656247,Preparatoria,2019-06-09,2019-06-07,PREPA 3,0.0,Certificado,SI
569259,,2008-08-14,2011-08-14,PREPA 3,0.0,Certificado,SI
565765,,2011-06-20,2014-06-20,PREPA 3,0.0,Certificado,SI
554257,,1997-07-21,2000-07-21,PREPA 3,0.0,Certificado,SI
553894,,2012-01-14,2012-01-16,PREPA 3,86.9,Certificado,SI
550237,SecunADRIA,1992-08-16,1995-07-16,FERNANDO MONTES  DE OCA ,0.0,Constancia,SI
532901,TECNICO EN ENFERMERIA GENERAL,2007-02-22,2011-02-22,CECYTEJ 1,0.0,Titulo,NO
563554,,2012-01-01,2015-01-01,CECYTEJ 1,0.0,Certificado,SI
552431,,2008-06-01,2011-01-04,PREPARATORIA NO.10,0.0,Certificado,SI
573049,,2013-08-01,2016-07-08,PREPARATORIA NO.10,0.0,Certificado,SI
554123,Primaria,2003-07-03,2003-07-04,ABEL AYALA,8.0,Certificado,SI
542984,"LA ACTITUD DE SERVICIO, ESENCIAL EN LA RELACIONES HUMANAS",2014-11-28,2014-12-04,U. A. G.,0.0,Constancia,SI
559063,,2000-03-20,2000-03-22,ESC. VOCACIONAL ,8.2,Certificado,SI
571821,,2006-02-21,2010-02-21,U.A.D.,0.0,Titulo,SI
552699,,2009-05-06,2012-05-06,PREPARATORIA NO. 7,0.0,N/I,SI
538448,,2005-08-01,2008-07-31,PREPARATORIA NO. 7,0.0,Certificado,SI
540436,,2006-08-01,2009-07-31,PREPARATORIA NO. 7,0.0,Certificado,SI
559032,,1991-02-10,1991-02-13,SEC 3 P/SRITAS,8.4,Certificado,SI
539540,TECNICO EN ADMINISTRACION,2006-11-12,2009-11-12,U..DE G.,95.0,Certificado,SI
544700,LIC.EN ENFERMERIA,2012-03-16,2012-03-18,U..DE G.,0.0,Titulo,SI
577966,ESPECIALIDAD EN MEDICO PEDIATRA,,,U..DE G.,0.0,Especialidad,SI
540931,CIRUJANO DENTISTA ,2007-12-17,2010-07-02,U..DE G.,0.0,Pasante,SI
564089,QUIMICO TECNICO INDUSTRIAL,2007-07-10,2007-07-12,U.DE. G,0.0,Pasante,SI
546942,TECNICA EN ENFERMERIA,2014-01-16,2014-01-17,U.DE. G,0.0,Titulo,SI
558820,LIC. ADMINISTRACION,2009-04-01,2009-04-03,U.DE. G,0.0,Titulo,NO
560227,cardiologia,2011-03-01,2013-02-28,UNIVERSIDAD AUTONOMA DE MEXICO,0.0,Certificado,SI
554020,ESPECIALISTA EN MEDICINA LEGAL,2014-08-14,2014-10-13,UNIVERSIDAD AUTONOMA DE MEXICO,0.0,Titulo,SI
4708559,MEDICINA FAMILIAR (R1 ACTUALMENTE CON UNA LICENCIA POR 1 AÑO),2018-03-01,2019-03-01,UNIVERSIDAD AUTONOMA DE MEXICO,0.0,N/I,NO
4528306,CIRUJANO DENTISTA ,1996-08-31,2001-08-31,UNIVERSIDAD AUTONOMA DE MEXICO,0.0,Titulo,SI
4518914,,1988-08-15,1991-07-15,UNIVERSIDAD AUTONOMA DE MEXICO,0.0,Titulo,SI
571364,SOCIOLOGIA,,,UNIVERSIDAD AUTONOMA DE MEXICO,0.0,Diploma,SI
550835,Secundaria,,,SECUNDARIA FEDERAL #17,7.6,Certificado,NO
578109,FORMACION DE OFICIALES ,1992-09-28,1994-02-28,UNIVERSIDAD DEL EJERCITO Y F.A.,0.0,Diploma,SI
4539285,Primaria,2006-05-10,2012-05-10,FRANCISCO MARQUEZ,0.0,Certificado,SI
556145,Primaria,1999-08-26,2006-07-26,FRANCISCO MARQUEZ,7.6,Certificado,SI
540340,,2007-08-01,2010-07-31,FRANCISCO MARQUEZ,0.0,Certificado,SI
537690,DIPLOMADO EN MEDICINA PALIATIVA Y MANEJO INTEGRAL DEL DOLOR,2012-12-04,2012-12-05,U.A.G. .,0.0,Diploma,SI
532406,LIC. EN PSICOLOGIA,2000-02-22,2004-02-22,U.A.G. .,0.0,Titulo,SI
532059,LIC. MEDICO CIRUJANO,1986-02-21,1993-02-21,U.A.G. .,0.0,Titulo,NO
533704,"LIC, EN CIENCIAS DE LA COMUNICACION",2009-02-21,2012-02-21,U.A.G. .,0.0,Pasante,SI
532932,CURSO POSTECNICO EN ENFERMEDIA EN CUIDADOS INTENSIVOS,2011-07-21,2011-07-22,U.A.G. .,0.0,Diploma,SI
533340,LIC.EN PSICOLOGIA,2012-03-29,2012-03-30,U.A.G. .,0.0,Titulo,SI
537504,LIC. ADMINISTRACION DE EMPRESA,1987-04-23,1992-04-23,U.A.G. .,0.0,Pasante,SI
533395,LIC. EN DISEÑO GRAFICO,2006-01-22,2010-01-22,U.A.G. .,0.0,Titulo,SI
532138,LIC. MEDICO CIRUJANO,1996-01-25,2000-01-25,U.A.G. .,0.0,Titulo,SI
536914,MAESTRIA EN TECNOLOGIAS DE INTERNET,2012-03-10,2012-03-11,U.A.G. .,0.0,Pasante,SI
535740,LIC. MEDICO CIRUJANO,2007-08-09,2011-08-09,U.A.G. .,0.0,Titulo,SI
549925,CURSO ENFERMERIA MEDICO QUIRURGICA,2012-07-26,2012-07-27,U.A.G. .,0.0,Diploma,SI
549925,CURSO POSTECNICO ADMINISTRACION Y DOCENCIA EN ENFERMERIA,2014-07-25,2014-07-26,U.A.G. .,0.0,Diploma,SI
548641,DIPLOMADO EN EVALUACION SOCIOECONOMICA DE PROYECTOS,2002-05-27,2002-09-13,U.A.G. .,0.0,Diploma,SI
546825,ESPECIALIDAD EN ENDODONCIA,2000-09-05,2000-09-06,U.A.G. .,0.0,Titulo,SI
544535,LIC. EN RELACIONES  INTERNACIONALES,2014-01-15,2014-01-16,U.A.G. .,0.0,Pasante,NO
545527,MAESTRIA EN PUBLICIDAD Y COMUNICACION CORPORATIVA,2012-06-05,2014-06-06,U.A.G. .,0.0,Titulo,SI
550196,LIC TERAPIA FISICA,2010-01-09,2012-01-09,U.A.G. .,0.0,Titulo,NO
533034,LICENCIATURA EN PSICOLOGIA,2009-01-13,2012-01-13,U.A.G. .,9.0,Titulo,SI
551391,LIC. EN RELACIONES  INTERNACIONALES,2010-01-09,2014-10-22,U.A.G. .,0.0,Titulo,NO
549994,MAESTRIA EN ENERGIA RENOVABLE,2011-11-16,2013-11-16,U.A.G. .,0.0,N/I,NO
553636,SUB-ESPECIALIDAD EN IMPLANTOLOGIA PROTESICA,2009-03-09,2009-03-10,U.A.G. .,0.0,Titulo,SI
556303,ESPECIALIDAD EN PERIODONCIA,2010-01-20,2010-01-21,U.A.G. .,0.0,Titulo,SI
561556,MEDICO CIRUJANO Y  PARTERO,2016-03-14,2016-03-16,U.A.G. .,0.0,N/I,SI
563578,Secundaria,1997-03-28,1997-03-29,INEA ,7.6,Certificado,SI
564876,Secundaria,2016-06-18,2016-06-20,INEA ,0.0,Certificado,SI
565332,Primaria,2009-07-07,2010-07-07,INEA ,0.0,Certificado,SI
565923,,1990-07-05,1993-07-05,INEA ,0.0,Certificado,SI
554848,,2009-06-17,2009-06-19,INEA ,8.1,Certificado,SI
554130,Secundaria,2004-10-28,2004-10-29,INEA ,6.4,Certificado,SI
551690,Secundaria,2007-03-29,2007-03-30,INEA ,8.8,Certificado,SI
542764,,,,INEA ,0.0,Trunco,NO
541480,Secundaria,2007-08-23,2007-08-24,INEA ,8.8,Certificado,SI
542166,Secundaria,2012-07-05,2012-07-06,INEA ,8.6,Constancia,SI
548892,Secundaria,2010-12-16,2010-12-17,INEA ,8.1,Certificado,SI
533436,Secundaria,2007-04-08,2010-04-09,INEA ,7.2,Certificado,SI
532451,Secundaria,2001-08-16,2001-08-17,INEA ,7.1,Certificado,SI
537580,Secundaria,2010-07-29,2010-07-30,INEA ,7.9,Certificado,SI
538479,Secundaria,1993-08-30,1993-08-31,INEA ,6.9,Certificado,NO
538455,Secundaria,2010-06-24,2010-06-25,INEA ,7.8,Certificado,SI
538864,Secundaria,2011-10-06,2011-10-07,INEA ,7.3,Certificado,SI
540687,Secundaria,2008-12-18,2008-12-19,INEA ,8.6,Certificado,SI
539722,Secundaria,2002-07-25,2002-07-26,INEA ,7.4,Certificado,SI
4525268,Secundaria,2007-03-12,2008-03-12,INEA ,0.0,Certificado,SI
4507509,Secundaria,2009-01-10,2010-01-10,INEA ,0.0,Certificado,SI
579081,Secundaria,2014-11-14,2015-11-14,INEA ,0.0,Certificado,SI
569929,,2010-11-14,2012-11-14,INEA ,0.0,Certificado,SI
4713465,Secundaria,2004-08-07,2006-08-07,INEA ,0.0,Certificado,SI
4713771,Secundaria,2017-12-10,2019-10-16,INEA ,0.0,Certificado,SI
4699462,Secundaria,2012-12-06,2012-12-07,INEA ,7.3,Certificado,SI
4586025,SECUNDARIA ,2003-10-08,2004-10-08,INEA ,0.0,Certificado,SI
540436,LIC. EN ENFERMERIA,2009-08-01,2013-07-31,CUCS U DE G ,94.9,Pasante,SI
565040,ENFERMERIA GENERAL,2012-01-01,2015-01-01,CUCS U DE G ,0.0,Titulo,SI
565246,ENFERMERIA ,2005-01-01,2010-01-01,CUCS U DE G ,0.0,Titulo,SI
566496,,2012-08-09,2015-08-09,CUCS U DE G ,0.0,Certificado,SI
561147,"LIC,. ADMINISTRACION DE EMPRESAS",,,U..T.E.G.,0.0,Titulo,SI
563073,SecunADRIA,1990-06-28,1990-06-29,PEDRO DE OGAZON NO. 18,0.0,Certificado,SI
564364,Secundaria,1980-06-28,1980-06-30,PEDRO DE OGAZON NO. 18,0.0,Certificado,SI
1961784,No hay especialidad,2010-08-20,2013-07-18,SEC.LOMAS DEL VGALLE,0.0,Certificado,SI
546784,Primaria,1985-06-26,1985-06-27,BASILIO BADILLO,7.0,Certificado,SI
539753,Primaria,2013-10-30,2013-10-31,BASILIO BADILLO,7.9,Certificado,SI
555225,Primaria,2004-07-01,2004-07-02,BASILIO BADILLO,7.9,Certificado,SI
571584,ING QUIMICO,2010-01-13,2015-03-13,INSTITUTO TECNOLOGICO SUPERIOR ,0.0,Titulo,SI
571584,PROCESOS  ,2010-01-13,2014-10-13,INSTITUTO TECNOLOGICO SUPERIOR ,0.0,Especialidad,SI
562665,,2016-05-05,2016-05-07,SECUNDARIA TECNICA 44,0.0,Certificado,SI
4593908,CREATIVIDAD PARA EL DISEÑO ,2006-11-13,2018-11-13,INSTITUTO NACIONAL DE BELLAS ARTES,0.0,Trunco,NO
548081,Secundaria,2013-02-07,2013-02-08,IGNACIO ZARAGOZA ,8.5,Certificado,SI
561082,,1989-08-13,1992-06-14,JOSE MARIA PINO SUAREZ ,7.0,Certificado,SI
4565149,COORDINACION Y DISEÑO DE MODAS,2005-06-26,2007-06-26,CENTRO DE DISEÑO DE MODAS,0.0,Certificado,SI
568669,POSDOCTORADOR EN INVESTIGACION EDUCATIVA - METODOS CUALITATIVOS,1987-08-01,1990-08-01,UNIVERSIDAD DE TEXAS,10.0,Titulo,SI
4628897,Secundaria,,,GREGORIO TORRES QUINTERO,0.0,Certificado,SI
568449,SECUNDARIA,1978-10-03,1980-10-03,GREGORIO TORRES QUINTERO,0.0,Certificado,NO
