nomina,experiencia,disciplina,empatia,liderazgo,seguridad,habilidad_tecnologica,habilidad_pedagogica,vocacion,relaciones_inter,curiosidad,normal_D,normal_I,normal_S,normal_C,motivacion_D,motivacion_I,motivacion_S,motivacion_C,presion_D,presion_I,presion_S,presion_C,Decision
800023,bajo,alto,bajo,medio,medio_alto,medio_bajo,medio,bajo,bajo,alto,70,70,42,70,38,35,55,37,51,85,88,85,No
800024,medio_bajo,alto,medio_alto,medio_bajo,alto,bajo,medio,medio_bajo,medio_bajo,medio_alto,39,30,70,36,15,17,39,61,60,20,76,26,Yes
800025,alto,medio,medio_alto,medio_alto,alto,alto,medio_bajo,medio,medio_alto,medio_bajo,57,70,70,54,15,78,77,15,40,25,35,79,No
800026,alto,medio,medio,medio_bajo,medio,medio_bajo,alto,bajo,bajo,bajo,70,42,70,62,85,59,51,85,31,21,22,75,Yes
800027,medio_bajo,medio,medio_alto,medio_bajo,medio_alto,medio_alto,bajo,medio,bajo,medio,46,30,70,53,28,68,38,65,85,15,96,45,Yes
800028,medio,bajo,alto,medio_alto,alto,medio_bajo,medio_bajo,medio_alto,alto,bajo,43,70,30,30,30,28,76,15,67,73,85,15,Yes
800029,bajo,medio,alto,medio_alto,medio_alto,medio,bajo,medio,medio_bajo,alto,70,62,63,53,73,16,73,44,84,34,82,15,Yes
800030,medio,medio_bajo,medio_bajo,medio_alto,bajo,medio_alto,alto,alto,bajo,medio_bajo,60,30,70,33,60,63,36,15,66,38,33,19,No
800031,medio,medio_bajo,bajo,medio,bajo,bajo,medio_bajo,medio,medio,alto,37,57,30,70,71,64,64,28,85,51,62,41,No
800032,bajo,medio_alto,medio_bajo,medio_bajo,medio_alto,medio_bajo,medio_bajo,medio,medio_bajo,medio,30,70,70,30,85,19,58,85,56,39,78,48,No
800033,medio_bajo,bajo,medio_bajo,bajo,medio,bajo,alto,medio_bajo,alto,bajo,30,63,70,30,15,15,15,24,37,83,40,20,Yes
800034,alto,alto,alto,medio_alto,alto,medio,medio,medio_bajo,alto,medio_bajo,70,50,70,70,66,85,55,25,72,82,84,85,No
800035,medio_alto,medio,bajo,alto,medio_bajo,alto,medio,alto,alto,medio_bajo,70,70,41,36,85,15,60,85,85,82,42,85,Yes
800036,medio_bajo,alto,medio,medio,medio,bajo,medio_bajo,medio_bajo,medio,alto,30,30,52,62,85,16,15,53,67,60,49,17,Yes
800037,medio_alto,medio_alto,medio_bajo,medio_alto,medio,medio_bajo,medio_alto,alto,alto,medio,70,30,60,30,15,59,16,73,48,59,21,85,Yes
800038,alto,medio_bajo,medio_bajo,medio_alto,bajo,medio_bajo,alto,alto,bajo,medio_bajo,70,30,70,70,85,40,20,85,66,68,81,15,Yes
800039,bajo,medio,bajo,medio_bajo,medio_alto,medio_bajo,bajo,medio_alto,alto,alto,70,58,62,30,22,64,81,23,61,69,51,66,Yes
800040,bajo,medio_alto,medio_alto,medio_bajo,medio,alto,medio,medio,medio,medio_bajo,30,55,68,56,39,15,58,15,67,53,49,85,Yes
800041,medio,medio_alto,bajo,medio_bajo,medio,bajo,medio,medio_alto,medio_alto,medio_alto,67,30,70,30,67,24,15,85,53,40,41,43,No
800042,alto,medio,medio_bajo,bajo,alto,bajo,medio_alto,medio_alto,alto,bajo,49,48,68,65,16,29,65,15,69,85,34,15,No
800043,bajo,medio_alto,medio,medio_alto,alto,bajo,medio_bajo,medio,medio_alto,medio,42,70,70,52,85,62,15,52,84,21,31,68,No
800044,medio_bajo,alto,bajo,medio,alto,medio,medio_bajo,medio,medio_alto,medio,30,70,30,30,58,62,73,52,78,70,49,67,No
800045,medio,medio,medio_bajo,medio,medio_bajo,medio,medio_bajo,medio_bajo,bajo,medio,70,70,70,70,56,67,17,41,48,59,63,51,Yes
800046,medio,alto,bajo,medio_bajo,medio_alto,bajo,medio_alto,medio_bajo,bajo,medio_alto,39,42,34,70,48,70,74,15,15,38,38,85,Yes
800047,medio,alto,medio,bajo,medio_bajo,medio_alto,medio_alto,medio,bajo,bajo,30,47,32,55,28,23,85,71,37,38,52,85,No
800048,medio,medio_alto,alto,medio_alto,medio,medio,alto,medio_alto,alto,bajo,38,70,34,30,61,30,85,56,68,51,79,39,Yes
800049,medio_alto,alto,medio_alto,alto,medio_bajo,medio_alto,medio,bajo,medio,medio,30,56,30,70,76,15,79,84,15,85,17,85,Yes
800050,bajo,bajo,medio,medio_alto,medio,medio_bajo,bajo,alto,medio_bajo,bajo,70,70,70,57,59,73,85,18,77,31,15,85,No
800051,medio_bajo,alto,medio_alto,medio,medio_bajo,medio,medio,alto,medio_bajo,medio_alto,30,30,30,49,26,40,63,15,85,75,98,78,Yes
800052,alto,medio_alto,medio_bajo,medio_bajo,alto,medio_bajo,bajo,medio_bajo,alto,medio,58,59,62,30,80,35,63,15,55,85,45,61,No
800053,alto,bajo,medio_bajo,alto,alto,alto,alto,medio_bajo,bajo,medio_bajo,30,70,70,53,63,26,28,85,17,24,33,85,No
800054,alto,alto,alto,medio,alto,medio_alto,bajo,medio_bajo,medio_bajo,medio,42,70,45,55,63,50,85,56,37,26,15,15,Yes
800055,alto,medio,medio_alto,bajo,medio,medio,bajo,medio_bajo,bajo,alto,30,30,65,67,65,22,15,77,67,63,53,51,No
800056,medio_alto,bajo,medio_bajo,alto,medio_bajo,medio_alto,bajo,medio_alto,alto,bajo,70,34,30,70,74,50,56,43,80,15,61,47,Yes
800057,bajo,medio_bajo,medio_alto,medio_alto,medio_alto,alto,medio_bajo,bajo,alto,medio,30,30,70,70,30,34,58,73,85,15,39,56,Yes
800058,medio,alto,medio_bajo,medio,alto,medio_bajo,alto,medio_alto,bajo,alto,70,30,70,30,72,23,58,27,15,45,4,65,Yes
800059,medio_alto,alto,alto,medio,medio_bajo,medio_bajo,medio_alto,alto,medio_alto,alto,36,30,70,70,15,29,84,76,58,67,48,33,Yes
800060,medio,bajo,alto,medio_alto,medio_bajo,medio_bajo,medio_alto,medio,medio_bajo,alto,70,70,30,70,58,85,46,28,30,58,72,68,Yes
800061,medio,medio,medio_bajo,medio_bajo,medio_alto,medio_alto,medio,bajo,medio_alto,medio_bajo,31,38,64,43,85,62,17,42,82,85,33,15,No
800062,bajo,medio_bajo,medio_alto,alto,medio_alto,medio,medio_alto,medio_alto,medio_alto,medio_bajo,70,30,70,35,20,17,24,34,85,83,16,15,No
800063,bajo,alto,medio_alto,medio_alto,medio_bajo,medio,medio,medio,bajo,bajo,70,30,30,70,63,64,85,23,15,45,87,15,Yes
800064,bajo,bajo,bajo,medio_alto,medio_alto,alto,medio_bajo,medio,bajo,medio_bajo,70,31,30,30,64,40,48,53,39,64,95,55,Yes
800065,medio_alto,bajo,bajo,medio_alto,alto,medio_bajo,medio_alto,medio_bajo,medio_alto,bajo,65,30,70,33,85,85,68,71,83,53,90,15,No
800066,alto,medio_alto,bajo,alto,medio,medio,bajo,bajo,bajo,medio,50,46,70,30,69,36,59,40,85,85,61,28,No
800067,medio,bajo,medio_bajo,medio_alto,alto,alto,medio_alto,medio_bajo,alto,medio_alto,70,70,30,70,15,15,85,68,85,58,85,46,No
800068,alto,medio,medio_bajo,alto,medio_alto,bajo,medio,bajo,medio_bajo,medio_bajo,70,70,41,30,58,55,58,15,44,43,44,75,Yes
800069,alto,alto,bajo,bajo,medio,medio_bajo,bajo,alto,alto,medio_alto,70,44,70,70,47,28,48,31,63,28,61,27,Yes
800070,medio,alto,medio,medio,bajo,alto,medio_alto,medio_bajo,medio_bajo,bajo,70,46,60,36,15,45,85,45,73,47,37,68,Yes
800071,alto,medio_bajo,medio_alto,bajo,medio,medio_bajo,medio_bajo,bajo,medio_bajo,medio_bajo,30,70,70,30,32,64,36,85,85,15,58,16,Yes
800072,medio,medio_bajo,medio,medio_alto,medio_alto,alto,bajo,medio_bajo,bajo,medio_alto,30,66,58,70,78,32,15,41,54,85,44,15,No
800073,bajo,bajo,medio_bajo,medio_alto,alto,alto,medio_bajo,alto,alto,alto,39,30,67,30,32,65,76,76,85,59,93,49,Yes
800074,bajo,medio,alto,medio_bajo,medio_alto,medio_bajo,bajo,alto,bajo,bajo,42,59,30,37,18,85,15,15,15,78,61,51,No
800075,alto,medio_bajo,bajo,medio_alto,medio_bajo,medio_alto,medio_bajo,alto,bajo,medio_bajo,64,70,30,30,15,71,53,41,56,23,39,85,Yes
800076,medio,alto,medio_bajo,medio_bajo,medio,alto,medio,alto,alto,medio_alto,35,30,70,70,36,62,82,43,15,15,11,52,Yes
800077,bajo,medio_alto,alto,medio_alto,medio,medio_alto,medio,bajo,medio_bajo,bajo,70,70,57,30,65,15,66,36,47,79,3,19,Yes
800078,medio_alto,alto,medio_bajo,medio_alto,medio_alto,medio,bajo,bajo,alto,medio,67,70,41,30,37,55,85,15,21,83,16,23,Yes
800079,medio,medio,bajo,alto,medio,alto,bajo,medio_alto,medio_alto,medio_bajo,40,30,42,30,31,85,56,15,15,60,66,46,Yes
800080,medio,alto,medio,bajo,alto,medio,medio_alto,medio_bajo,bajo,alto,62,41,70,70,15,15,15,72,69,15,37,65,Yes
800081,medio,medio_alto,bajo,medio_bajo,medio,alto,bajo,alto,medio_bajo,medio_alto,30,30,30,35,84,70,20,15,85,40,100,85,Yes
800082,bajo,medio,medio_alto,medio,medio_bajo,medio_bajo,bajo,medio_bajo,medio_alto,medio_bajo,30,30,30,70,85,54,22,77,26,58,44,15,Yes
800083,alto,bajo,bajo,medio_bajo,medio,bajo,alto,alto,medio_alto,medio_alto,30,30,30,70,85,42,85,85,41,43,26,40,Yes
800084,medio,medio_alto,bajo,medio_bajo,medio_alto,alto,medio_alto,medio_bajo,medio_bajo,medio,30,30,60,59,50,15,31,37,15,85,45,15,Yes
800085,medio_alto,bajo,medio_bajo,alto,medio_bajo,medio_bajo,medio_bajo,alto,bajo,medio_bajo,56,70,59,30,67,85,62,85,54,70,3,19,No
800086,medio,medio,medio,medio_alto,medio_alto,bajo,medio_alto,medio_alto,medio_alto,medio,30,30,70,38,23,15,54,38,82,15,27,15,No
800087,medio,alto,alto,bajo,medio_bajo,medio_bajo,medio_bajo,medio_bajo,bajo,medio_alto,70,70,30,70,59,53,51,45,84,63,91,59,Yes
800088,medio_bajo,bajo,medio,medio_alto,bajo,alto,bajo,bajo,alto,medio_bajo,30,47,70,30,45,20,34,77,85,84,1,43,Yes
800089,alto,medio_alto,bajo,medio_alto,bajo,medio_alto,alto,medio,medio_alto,alto,70,34,30,66,59,15,47,26,22,20,56,15,Yes
800090,medio_alto,bajo,medio_bajo,medio_bajo,alto,bajo,medio_alto,alto,bajo,medio,70,38,70,43,15,46,85,84,71,85,27,32,Yes
800091,medio,medio_alto,medio_alto,bajo,medio_alto,bajo,medio,bajo,medio_bajo,alto,43,44,66,30,85,26,71,15,32,30,63,85,No
800092,medio_bajo,bajo,alto,medio_bajo,medio,bajo,alto,alto,medio_bajo,bajo,30,70,68,35,18,50,67,85,15,69,61,34,No
800093,medio_bajo,alto,alto,medio_alto,medio_alto,medio,bajo,medio_bajo,medio_alto,medio,38,30,48,70,47,78,54,15,57,63,40,67,No
800094,alto,medio_bajo,medio,medio_bajo,bajo,alto,medio,medio_alto,medio_alto,bajo,30,61,31,52,85,15,78,70,45,36,21,63,No
800095,medio_alto,bajo,medio_alto,medio,medio_alto,medio,medio_alto,medio_alto,medio_alto,medio_alto,30,30,70,34,30,80,47,65,25,85,73,63,Yes
800096,medio,bajo,bajo,medio_bajo,medio_alto,bajo,alto,alto,medio_bajo,medio_alto,30,70,70,70,18,70,15,57,22,24,94,54,Yes
800097,medio_alto,bajo,medio,alto,alto,bajo,medio,medio,medio,medio,70,30,70,53,23,39,42,83,15,85,65,15,Yes
800098,bajo,medio_alto,medio_bajo,medio_alto,bajo,bajo,medio,bajo,medio,bajo,40,70,30,70,48,24,16,53,55,29,50,20,Yes
800099,medio_bajo,medio_bajo,medio_alto,bajo,medio,alto,medio,medio,medio_bajo,medio_bajo,54,41,30,70,56,84,15,85,84,43,3,33,No
800100,alto,medio_bajo,medio_bajo,medio,medio,medio,medio_alto,medio,medio,medio_bajo,52,61,30,44,32,33,85,15,15,29,79,85,Yes
800101,bajo,medio_bajo,alto,medio_bajo,bajo,medio_bajo,medio,medio_bajo,alto,bajo,30,43,70,45,50,15,78,15,15,18,61,38,Yes
800102,alto,medio_bajo,alto,alto,medio,medio_bajo,alto,medio,alto,medio_bajo,30,36,30,30,22,35,15,15,39,85,96,37,Yes
800103,alto,bajo,medio_alto,medio,alto,medio_bajo,medio_bajo,alto,medio,medio_alto,30,39,70,37,67,84,59,54,58,60,20,15,Yes
800104,medio_bajo,alto,alto,medio_bajo,medio_bajo,medio_alto,medio_alto,bajo,medio_bajo,medio,42,60,70,53,78,77,40,44,50,85,67,85,No
800105,bajo,medio_alto,alto,bajo,bajo,medio,medio_bajo,medio_bajo,bajo,alto,70,70,30,30,57,85,31,37,85,43,12,67,Yes
800106,bajo,bajo,medio_alto,medio_alto,medio_alto,medio_alto,medio_bajo,bajo,medio,medio_bajo,30,30,40,30,71,85,84,81,55,26,32,26,Yes
800107,alto,medio_alto,medio_alto,medio,medio_bajo,medio_bajo,medio_bajo,medio_alto,bajo,bajo,35,65,70,70,15,15,74,15,15,49,93,17,Yes
800108,alto,medio_alto,medio_bajo,medio_alto,bajo,bajo,medio_alto,bajo,medio,bajo,30,30,30,64,85,77,15,41,22,74,10,79,Yes
800109,medio_bajo,medio_bajo,alto,alto,alto,medio_bajo,bajo,medio_bajo,medio_alto,alto,70,65,70,70,38,24,42,15,51,85,75,55,No
800110,medio,alto,medio,medio_alto,medio,medio_bajo,medio_bajo,alto,medio_alto,medio_alto,30,55,30,70,52,26,15,15,49,15,45,15,Yes
800111,medio,medio_bajo,bajo,medio_alto,medio_alto,medio_alto,medio_alto,medio,medio,medio,39,70,30,30,78,82,39,85,85,44,87,19,Yes
800112,medio,medio,medio_bajo,medio_alto,medio_bajo,medio,bajo,medio,medio_bajo,medio,65,70,30,30,46,75,70,50,50,43,19,85,No
800113,medio_bajo,medio_alto,medio_alto,medio_alto,medio_alto,medio_bajo,bajo,medio_alto,alto,alto,70,70,56,52,85,55,15,41,26,72,44,69,Yes
800114,medio_alto,medio_alto,medio,alto,bajo,alto,medio,medio_alto,bajo,bajo,30,30,70,62,15,19,72,85,34,61,55,85,No
800115,bajo,alto,medio,medio_bajo,medio,medio,medio,medio,medio_bajo,medio_bajo,37,53,70,70,18,20,39,15,35,85,69,15,No
800116,medio,medio,medio_bajo,medio,medio_alto,alto,medio_bajo,medio_bajo,alto,bajo,50,67,54,30,23,85,72,15,16,76,2,60,No
800117,alto,medio_bajo,bajo,alto,medio_bajo,bajo,medio,medio_alto,medio,alto,30,70,61,70,85,43,34,85,15,26,29,15,No
800118,medio,bajo,alto,bajo,medio_bajo,alto,alto,bajo,medio_bajo,medio_bajo,70,70,30,53,53,85,58,48,85,38,6,85,Yes
800119,medio_bajo,alto,medio_bajo,alto,alto,medio_bajo,medio,medio_bajo,medio_bajo,medio,70,63,70,50,85,85,69,15,15,85,92,15,Yes
800120,bajo,alto,medio_bajo,alto,medio_bajo,bajo,medio_alto,medio_bajo,medio,alto,30,59,30,41,15,85,15,77,60,51,8,83,No
800121,medio,medio_alto,medio,medio,medio_alto,medio_bajo,medio_bajo,medio_bajo,medio,alto,36,38,47,55,71,85,38,15,60,71,82,84,Yes
800122,bajo,bajo,medio,bajo,medio,medio_bajo,medio,medio_bajo,medio_alto,medio_bajo,35,32,30,30,75,53,85,42,82,19,84,73,No
800123,medio,medio_bajo,alto,medio_bajo,medio_alto,alto,alto,medio_bajo,medio,bajo,30,70,30,54,49,72,17,85,63,28,47,15,Yes
800124,medio_alto,medio,bajo,medio_bajo,medio_bajo,medio_bajo,bajo,medio,bajo,medio_bajo,32,70,70,33,49,85,24,20,44,34,51,85,No
800125,medio_bajo,bajo,bajo,medio_bajo,bajo,medio_alto,medio_bajo,medio_alto,bajo,bajo,70,70,70,35,22,28,66,64,38,42,94,53,Yes
800126,medio,medio,medio_alto,medio_bajo,alto,medio,medio,medio,medio_alto,medio_alto,37,39,30,52,65,23,15,45,72,59,9,15,Yes
800127,medio,bajo,medio_bajo,bajo,bajo,medio_alto,bajo,medio_bajo,alto,medio_bajo,70,30,30,30,85,85,15,85,65,82,38,85,Yes
800128,medio_bajo,alto,bajo,bajo,bajo,bajo,medio,medio,medio,medio,30,55,30,30,57,23,57,15,22,51,93,43,No
800129,medio_bajo,medio_alto,medio_alto,medio,medio_alto,bajo,bajo,medio_bajo,medio_alto,alto,30,70,70,70,28,33,85,26,65,15,45,69,No
800130,bajo,medio_alto,alto,alto,medio_bajo,alto,medio_alto,medio_alto,medio_bajo,bajo,30,32,70,63,53,85,42,83,47,39,13,32,Yes
800131,medio_bajo,medio,medio_alto,medio,medio_bajo,medio,bajo,medio_alto,medio_alto,medio_alto,30,70,30,51,15,49,77,79,37,47,31,53,Yes
800132,alto,medio_alto,alto,alto,medio_alto,bajo,bajo,medio_alto,medio_alto,medio_bajo,70,32,70,70,75,31,77,61,83,85,9,58,No
800133,medio_alto,medio_bajo,medio_alto,bajo,bajo,bajo,medio,alto,bajo,bajo,70,30,30,30,72,50,85,59,85,85,95,15,Yes
800134,medio_alto,medio_alto,medio_bajo,alto,medio_alto,alto,medio_bajo,medio,bajo,bajo,30,39,35,70,15,23,36,15,82,19,19,85,Yes
800135,alto,medio,medio,medio,bajo,medio_bajo,bajo,medio_alto,medio,alto,34,70,70,52,15,83,51,82,20,64,47,52,Yes
800136,medio_alto,medio,medio_bajo,medio_alto,medio_bajo,alto,medio_bajo,medio_bajo,alto,medio,32,70,57,31,34,15,66,76,27,81,98,15,No
800137,alto,medio_bajo,alto,bajo,medio_bajo,medio_bajo,bajo,medio_bajo,medio_alto,bajo,41,41,66,61,74,77,72,23,72,72,23,69,Yes
800138,alto,medio,bajo,medio_bajo,medio_bajo,alto,bajo,alto,medio,medio_bajo,55,30,70,30,32,32,15,67,15,69,57,79,No
800139,alto,medio_alto,medio_bajo,alto,alto,bajo,bajo,medio,bajo,bajo,52,70,70,30,47,26,85,37,15,15,93,55,No
800140,medio,medio_alto,bajo,medio_alto,medio_alto,medio_bajo,medio_bajo,medio_bajo,medio_alto,medio_alto,30,58,47,70,85,79,63,75,85,42,2,56,No
800141,medio_alto,medio,medio_alto,medio,medio_alto,alto,medio_alto,medio,medio_alto,medio,30,30,30,30,55,71,85,58,85,73,17,22,No
800142,medio_bajo,bajo,bajo,medio,bajo,medio_alto,medio_alto,medio_bajo,bajo,medio,30,47,44,70,53,66,72,19,50,15,55,84,Yes
800143,medio,bajo,medio_bajo,medio_alto,medio_alto,alto,medio,medio_alto,medio_alto,medio_alto,30,70,70,70,85,15,51,43,77,85,21,69,No
800144,medio,alto,alto,medio,alto,medio,bajo,alto,bajo,bajo,30,33,30,40,51,64,56,49,46,42,7,15,No
800145,bajo,medio_bajo,medio_alto,alto,bajo,medio,bajo,medio_bajo,medio_alto,alto,70,30,70,30,85,83,25,85,85,15,77,49,No
800146,medio,alto,alto,alto,medio,medio_alto,bajo,alto,alto,medio,30,70,70,70,85,84,46,15,15,85,43,15,No
800147,medio,medio_bajo,medio_alto,bajo,medio_alto,medio,alto,alto,medio_bajo,medio,48,35,70,70,56,73,15,75,39,85,67,66,Yes
800148,medio_bajo,medio,medio_bajo,medio_bajo,medio_bajo,medio,bajo,medio_alto,bajo,bajo,30,50,30,65,85,44,85,54,68,15,77,15,Yes
800149,medio,alto,medio_bajo,medio_alto,medio,alto,medio_bajo,medio_alto,medio_bajo,medio,30,30,30,30,76,85,15,15,15,85,43,17,No
800150,medio_bajo,bajo,medio_alto,medio_alto,medio,medio_bajo,medio_bajo,alto,medio_bajo,medio_alto,30,55,70,70,57,79,54,40,82,22,43,34,Yes
800151,medio_bajo,medio,bajo,medio_alto,medio,medio_alto,medio_alto,medio,medio_alto,alto,70,56,70,57,68,15,58,85,57,85,60,15,No
800152,medio_bajo,alto,bajo,alto,medio_bajo,medio_bajo,medio,medio_bajo,bajo,medio_alto,40,70,31,70,50,69,28,77,66,50,80,16,No
800153,medio_alto,medio_alto,medio_alto,medio,alto,medio_bajo,alto,medio_alto,medio_bajo,alto,70,30,59,30,15,85,48,27,15,22,19,15,Yes
800154,alto,medio,medio_bajo,alto,medio_bajo,medio_alto,medio_alto,medio_alto,medio_alto,bajo,70,45,70,38,43,85,22,85,16,26,42,15,Yes
800155,medio,bajo,bajo,medio,medio_bajo,medio,medio_bajo,medio,alto,medio_alto,30,56,31,53,15,69,15,74,59,15,55,56,Yes
800156,medio,medio,alto,bajo,medio,medio_bajo,medio_alto,medio,medio_bajo,alto,31,30,70,70,82,30,77,17,40,18,67,60,Yes
800157,medio,bajo,alto,alto,medio_bajo,medio,medio,bajo,medio,alto,30,70,30,30,27,71,32,72,84,37,17,85,Yes
800158,medio_alto,medio_bajo,medio_alto,medio,medio_bajo,medio_bajo,medio_bajo,bajo,medio,bajo,61,70,70,30,44,32,62,85,85,15,76,83,Yes
800159,alto,medio,medio_bajo,alto,medio,medio_alto,medio,medio_alto,bajo,medio_bajo,70,30,70,68,67,81,44,56,85,15,97,85,Yes
800160,medio,medio,alto,medio_bajo,bajo,medio,medio_bajo,medio,alto,medio_alto,68,30,34,70,47,15,84,15,39,46,46,85,Yes
800161,bajo,medio_alto,alto,medio_alto,medio,alto,medio_bajo,alto,bajo,alto,70,70,59,70,49,15,15,64,85,15,25,64,Yes
800162,medio,medio,alto,medio,medio_alto,medio_alto,alto,bajo,bajo,medio_alto,41,43,50,68,32,78,40,61,28,82,81,85,No
800163,medio,medio_bajo,medio_bajo,alto,bajo,medio,bajo,alto,alto,medio,30,70,30,30,69,57,62,18,81,74,36,83,Yes
800164,alto,medio,medio_alto,medio_bajo,bajo,medio,alto,medio_alto,alto,medio,30,70,70,39,77,36,38,85,48,34,52,31,Yes
800165,bajo,medio_alto,bajo,medio_bajo,medio_alto,medio,medio,medio_bajo,alto,alto,30,30,47,70,21,48,69,15,15,30,12,31,Yes
800166,medio_bajo,medio,bajo,medio_alto,bajo,bajo,medio_bajo,medio,alto,bajo,70,64,68,70,85,35,15,18,78,31,65,27,Yes
800167,medio,bajo,alto,medio_bajo,bajo,medio_bajo,bajo,medio_alto,medio_bajo,alto,55,32,61,30,85,49,79,49,35,50,86,46,No
800168,medio_bajo,bajo,bajo,medio,alto,bajo,alto,medio_alto,medio_alto,alto,58,55,70,30,64,84,53,64,85,43,8,33,Yes
800169,bajo,medio,medio_bajo,medio_alto,alto,medio_bajo,medio_alto,medio_alto,medio_bajo,medio_bajo,30,70,70,30,21,60,15,15,81,51,84,41,No
800170,alto,medio_alto,bajo,bajo,medio_bajo,medio_alto,bajo,medio_alto,medio_alto,medio_bajo,64,30,42,70,72,32,15,85,32,44,7,18,Yes
800171,bajo,medio_bajo,bajo,medio_bajo,medio_alto,bajo,medio,medio,alto,alto,46,54,52,66,28,85,66,31,21,33,84,41,No
800172,medio_alto,medio_alto,bajo,alto,alto,medio_bajo,bajo,bajo,alto,alto,70,70,30,37,60,17,19,15,75,35,19,67,No
800173,bajo,alto,medio,medio_alto,medio,bajo,medio,bajo,medio,medio_bajo,30,70,30,49,85,22,38,46,73,39,43,76,Yes
800174,bajo,medio_alto,medio_alto,alto,medio,medio_alto,medio_bajo,bajo,alto,medio_bajo,70,30,70,30,47,15,30,38,85,59,81,85,No
800175,medio_bajo,bajo,medio,bajo,medio_alto,bajo,medio,medio,medio_alto,alto,70,70,41,70,85,85,49,15,59,56,49,82,Yes
800176,medio,bajo,medio,bajo,medio_bajo,medio_bajo,medio_bajo,medio,medio_bajo,bajo,70,30,30,70,69,22,51,55,48,19,67,51,No
800177,medio,medio_alto,medio,medio_alto,alto,medio_bajo,bajo,alto,alto,alto,59,39,54,55,24,15,23,85,44,83,56,85,No
