nomina,experiencia,disciplina,empatia,liderazgo,seguridad,habilidad_tecnologica,habilidad_pedagogica,vocacion,relaciones_inter,curiosidad,paciencia,normal_D,normal_I,normal_S,normal_C,motivacion_D,motivacion_I,motivacion_S,motivacion_C,presion_D,presion_I,presion_S,presion_C,Decision
800044,medio,medio_bajo,medio_bajo,medio,medio_alto,medio,alto,medio,medio,alto,medio,70,35,70,59,71,60,58,85,77,45,15,69,Yes
800045,medio_alto,alto,medio,medio_bajo,bajo,medio_alto,medio_bajo,alto,alto,bajo,medio_bajo,70,30,70,30,85,74,73,85,35,41,54,41,Yes
800046,bajo,bajo,alto,bajo,medio,medio,medio_alto,medio_alto,medio_bajo,alto,bajo,37,69,70,70,73,43,66,69,15,29,26,60,Yes
800047,medio_alto,bajo,medio_alto,bajo,medio_alto,bajo,medio_bajo,medio_alto,alto,medio_bajo,bajo,58,30,30,30,77,15,76,50,42,65,77,43,Yes
800048,medio_alto,medio_bajo,bajo,medio_alto,medio,medio_bajo,alto,medio,medio,medio_bajo,medio_alto,30,30,57,60,85,85,85,61,19,22,8,35,No
800049,bajo,medio_alto,bajo,bajo,alto,medio,bajo,bajo,bajo,alto,medio,70,70,59,64,30,71,38,15,26,85,5,44,Yes
800050,medio,bajo,bajo,medio_bajo,medio,medio_alto,medio_alto,medio_bajo,medio_bajo,alto,medio_bajo,64,54,30,30,21,21,83,85,28,24,61,38,Yes
800051,medio_alto,medio,medio_bajo,medio,bajo,medio_bajo,medio,medio,medio_bajo,medio_alto,medio_alto,47,56,45,70,85,85,19,20,78,82,61,74,No
800052,medio,bajo,medio_alto,bajo,medio_bajo,medio_bajo,medio_alto,medio_bajo,medio_bajo,bajo,medio,70,53,46,30,15,15,15,85,46,59,91,58,No
800053,medio,bajo,medio_bajo,bajo,medio,medio,medio,bajo,medio_bajo,bajo,medio_alto,54,70,30,70,85,38,15,47,85,58,57,48,Yes
800054,alto,medio_alto,medio,bajo,medio_bajo,bajo,bajo,alto,medio_alto,medio,medio_alto,30,70,62,30,40,43,85,85,61,18,36,57,No
800055,medio_alto,medio,medio_bajo,medio_alto,medio_alto,medio_alto,medio_alto,medio_alto,medio_bajo,medio_bajo,medio,70,37,30,69,17,85,85,74,85,35,64,15,Yes
800056,medio,bajo,alto,medio_bajo,medio,medio_alto,alto,bajo,alto,alto,medio_bajo,30,42,70,70,85,85,55,85,20,63,24,15,No
800057,medio,alto,alto,bajo,bajo,alto,alto,medio_alto,medio,bajo,medio_bajo,44,56,30,70,85,15,85,57,71,18,88,28,No
800058,alto,medio,alto,bajo,medio_bajo,medio,medio,medio,medio,medio,medio_alto,52,47,40,56,85,53,38,85,85,85,81,62,Yes
800059,medio_bajo,bajo,medio_bajo,medio,medio_bajo,medio_bajo,bajo,medio,medio_bajo,medio_bajo,medio,70,30,70,59,44,41,21,39,85,82,33,82,Yes
800060,medio,medio,medio_alto,bajo,alto,medio_alto,medio_bajo,alto,medio,medio,alto,65,59,58,30,58,83,85,85,61,83,16,57,No
800061,medio_alto,medio_bajo,medio_alto,bajo,medio_bajo,bajo,alto,medio_alto,medio_bajo,alto,medio_bajo,30,35,48,30,28,15,25,83,85,49,6,85,Yes
800062,medio,alto,medio,medio,medio_alto,medio_alto,medio_alto,medio,medio,medio,bajo,30,30,48,60,15,70,59,52,85,85,11,57,No
800063,bajo,bajo,medio,medio,bajo,medio_bajo,bajo,medio_bajo,medio,alto,bajo,50,39,37,59,80,79,81,45,21,85,86,48,Yes
800064,medio,alto,alto,medio_alto,medio_alto,bajo,medio,bajo,medio,alto,medio,30,61,30,66,75,15,51,85,59,15,79,80,Yes
800065,medio_bajo,medio_alto,bajo,medio_alto,medio_alto,medio_alto,medio,medio,medio_alto,medio_bajo,alto,32,50,30,30,85,16,15,41,69,29,35,18,No
800066,medio,medio_alto,medio_bajo,alto,medio_bajo,alto,bajo,bajo,medio_alto,alto,medio_bajo,70,70,70,70,65,43,24,82,85,16,66,15,No
800067,medio,medio_bajo,medio_alto,bajo,alto,medio_alto,medio_bajo,medio,medio,alto,bajo,30,70,30,69,15,36,28,15,85,85,13,79,No
800068,alto,medio,medio_bajo,bajo,medio_alto,medio_bajo,medio,medio_bajo,alto,medio,alto,30,30,70,70,46,50,15,85,60,75,95,85,Yes
800069,medio,alto,alto,medio_bajo,medio,medio_bajo,alto,medio,medio,medio,alto,48,30,30,30,75,56,23,56,32,85,60,15,No
800070,medio_bajo,medio_bajo,medio,medio,medio_alto,alto,medio,medio_alto,alto,bajo,medio_bajo,30,56,30,70,42,28,74,32,15,62,79,41,No
800071,medio_bajo,medio,medio,bajo,bajo,medio_bajo,bajo,bajo,medio_bajo,bajo,medio,30,70,45,57,15,49,85,35,80,82,97,85,No
800072,medio,bajo,bajo,bajo,medio_alto,medio_alto,medio_alto,medio_bajo,alto,medio_bajo,alto,62,30,30,70,85,78,75,34,72,76,75,73,No
800073,alto,bajo,bajo,alto,medio_bajo,alto,bajo,medio,medio_alto,medio_alto,medio_alto,60,65,30,60,82,85,76,81,44,82,71,81,No
800074,medio_alto,medio_alto,medio,medio_alto,medio_alto,medio_alto,medio_bajo,alto,medio,alto,alto,44,50,30,70,15,26,85,15,85,46,39,69,Yes
800075,medio_alto,medio,medio,bajo,medio_alto,alto,medio,bajo,bajo,alto,medio,30,30,30,64,61,23,50,57,65,85,63,36,No
800076,medio,medio_bajo,medio_bajo,medio_bajo,medio_bajo,medio_alto,alto,alto,alto,medio_alto,alto,31,70,47,62,37,85,59,15,58,85,97,15,No
800077,bajo,alto,medio_bajo,alto,medio_bajo,medio_alto,medio,alto,bajo,medio,medio_bajo,35,30,55,30,62,72,33,85,41,85,75,37,Yes
800078,medio,medio_bajo,medio,alto,medio_alto,bajo,medio_bajo,bajo,medio_alto,alto,medio,50,31,39,30,76,18,29,15,79,84,75,44,Yes
800079,medio_bajo,bajo,bajo,medio_alto,medio_alto,medio_alto,alto,medio_bajo,medio_bajo,medio,alto,70,70,30,30,66,45,15,15,55,80,59,15,No
800080,medio,bajo,medio_alto,medio,bajo,medio,medio_bajo,medio_bajo,medio_alto,medio_alto,alto,54,70,56,70,33,16,19,85,71,85,80,20,Yes
800081,medio_alto,medio_bajo,medio,alto,medio_alto,medio_alto,medio,bajo,medio,alto,alto,70,70,33,70,48,61,15,15,37,80,68,72,Yes
800082,alto,medio_bajo,medio_bajo,medio_alto,medio_bajo,medio,bajo,alto,medio_bajo,alto,bajo,34,45,30,58,30,21,39,56,15,49,67,83,Yes
800083,medio_bajo,bajo,medio_alto,bajo,medio_alto,alto,bajo,medio,medio_bajo,bajo,bajo,70,30,57,70,85,85,15,61,15,84,72,73,No
800084,medio,medio_alto,medio_bajo,alto,bajo,medio,medio,bajo,bajo,bajo,medio_bajo,70,70,70,30,35,30,43,22,85,85,97,85,Yes
800085,alto,medio,alto,medio_alto,medio,alto,medio,medio,medio_alto,bajo,medio,30,67,30,39,35,85,16,17,85,20,56,15,Yes
800086,bajo,bajo,medio_bajo,alto,medio_bajo,medio_alto,medio_alto,medio_alto,medio_alto,bajo,medio_bajo,47,30,52,61,62,31,49,85,43,61,32,15,Yes
800087,medio,bajo,medio_alto,medio,medio_bajo,alto,alto,medio_bajo,medio_bajo,alto,medio_alto,30,40,39,52,72,59,85,17,85,28,72,15,No
800088,medio,medio_alto,alto,medio_bajo,bajo,medio_alto,medio_bajo,bajo,medio,medio,bajo,30,51,70,64,54,85,16,22,74,15,16,85,Yes
800089,medio_bajo,medio,medio_bajo,alto,medio_bajo,bajo,medio_bajo,medio_bajo,medio_alto,medio,medio_bajo,70,56,46,30,59,57,83,47,15,69,24,42,No
800090,alto,bajo,medio,medio_bajo,bajo,bajo,medio,alto,medio_bajo,medio_alto,alto,58,62,64,30,31,48,20,15,17,46,92,27,Yes
800091,bajo,alto,medio_alto,alto,medio_alto,medio_bajo,alto,medio_bajo,medio_bajo,medio_alto,alto,33,63,30,30,56,36,37,15,48,15,46,35,Yes
800092,medio_bajo,medio,medio,bajo,medio,medio_alto,bajo,bajo,medio,bajo,medio_alto,30,70,70,69,43,15,66,77,15,29,38,85,No
800093,bajo,medio_bajo,medio_alto,alto,medio_bajo,medio,medio_alto,medio_bajo,medio_bajo,bajo,medio,70,30,30,40,72,59,85,59,15,85,34,15,No
800094,medio_alto,bajo,alto,medio_bajo,alto,medio,bajo,medio,medio_bajo,bajo,medio_bajo,70,30,63,30,80,47,61,38,43,32,25,15,No
800095,alto,bajo,medio_bajo,medio,alto,medio_bajo,medio_alto,medio,bajo,medio_alto,alto,41,70,70,70,29,16,70,24,26,25,82,78,Yes
800096,medio_alto,medio_bajo,medio_bajo,medio,medio,medio,alto,bajo,medio,alto,medio_alto,30,45,30,70,27,15,37,75,65,58,5,85,No
800097,medio,medio_alto,medio,medio,bajo,medio_alto,alto,bajo,alto,alto,medio_bajo,30,57,70,30,20,70,59,42,55,15,20,85,Yes
800098,medio,medio,alto,alto,alto,medio,bajo,bajo,medio_alto,alto,medio_alto,37,30,70,70,85,37,73,85,81,44,54,43,Yes
800099,bajo,bajo,medio_bajo,medio_bajo,medio_alto,bajo,bajo,alto,medio_alto,bajo,medio,32,30,70,45,74,15,15,42,60,31,69,15,Yes
800100,bajo,bajo,medio_alto,medio_alto,medio_bajo,medio,medio,bajo,bajo,bajo,medio_bajo,30,39,30,70,40,60,71,42,15,59,64,62,Yes
800101,bajo,medio_alto,medio,alto,bajo,alto,medio,medio_bajo,bajo,bajo,medio_bajo,70,70,30,30,15,15,85,85,32,65,83,27,No
800102,alto,medio_alto,medio_alto,alto,bajo,alto,medio_alto,alto,bajo,bajo,alto,49,70,53,45,64,15,44,15,18,56,33,30,Yes
800103,bajo,medio,medio,medio_bajo,bajo,medio_bajo,bajo,medio,medio_bajo,bajo,bajo,57,70,30,51,26,35,72,15,55,76,2,69,Yes
800104,medio_bajo,alto,alto,medio_bajo,bajo,medio_alto,alto,medio,medio_alto,medio_alto,medio_bajo,30,70,64,37,74,15,15,56,85,22,61,15,No
800105,alto,alto,medio,medio_alto,medio,medio,medio_bajo,bajo,medio_bajo,medio_bajo,bajo,57,70,70,70,85,71,28,53,15,75,98,85,Yes
800106,medio,medio_bajo,medio_alto,medio_bajo,medio_alto,medio,medio,bajo,alto,medio_bajo,medio_alto,30,30,36,69,85,27,69,18,81,46,18,75,No
800107,bajo,medio_alto,medio_bajo,medio_alto,medio_alto,alto,alto,medio,alto,alto,bajo,57,70,30,66,82,15,79,85,85,85,63,85,No
800108,medio_alto,medio_bajo,medio_bajo,alto,medio_alto,medio_alto,medio_bajo,medio_alto,bajo,medio_alto,alto,39,67,30,65,22,67,74,85,85,53,34,16,Yes
800109,bajo,medio,medio_alto,alto,medio,medio_bajo,medio_alto,medio_alto,alto,medio,medio_bajo,70,30,56,70,49,82,17,85,45,18,11,23,Yes
800110,medio_alto,medio_bajo,alto,medio_bajo,bajo,bajo,bajo,bajo,bajo,bajo,medio_alto,54,30,48,55,85,79,70,44,71,16,40,66,Yes
800111,bajo,medio,medio_alto,bajo,medio_alto,medio_bajo,medio_alto,alto,bajo,medio,medio_bajo,30,70,59,70,47,46,39,15,15,60,20,85,Yes
800112,medio_bajo,medio_alto,medio,medio,medio_alto,medio_bajo,bajo,medio_bajo,medio,bajo,bajo,70,70,70,70,25,51,67,15,81,72,69,37,Yes
800113,alto,medio_alto,medio,medio,medio_alto,medio_alto,bajo,alto,medio_alto,alto,medio_bajo,70,70,38,30,50,15,77,51,85,85,44,57,No
800114,alto,medio_alto,medio_bajo,medio_bajo,bajo,bajo,alto,medio,medio_bajo,medio_alto,medio_bajo,70,66,60,30,36,23,69,70,15,56,73,20,Yes
800115,alto,medio_alto,bajo,medio_bajo,bajo,medio_bajo,bajo,medio_bajo,medio_alto,bajo,medio_alto,30,46,33,45,85,29,85,53,63,52,42,70,No
800116,medio_alto,alto,medio,medio,medio_bajo,alto,medio_bajo,alto,bajo,medio,medio,70,30,46,68,49,79,15,85,52,33,69,15,Yes
800117,medio_alto,alto,medio_bajo,medio,medio_alto,medio,medio_alto,medio,bajo,medio_alto,bajo,70,38,63,56,22,51,40,85,15,26,50,68,Yes
800118,medio_bajo,medio_alto,medio,medio_bajo,medio_alto,alto,medio_bajo,medio_bajo,alto,bajo,alto,70,70,36,70,85,15,85,63,83,85,54,64,Yes
800119,bajo,bajo,medio_alto,medio,bajo,medio,medio_alto,medio_bajo,medio_alto,medio_alto,medio_alto,33,30,30,70,58,82,25,15,85,65,64,69,Yes
800120,medio_bajo,medio,medio_alto,medio_bajo,medio_alto,medio_alto,medio,alto,medio_bajo,medio,medio_bajo,30,70,37,70,85,29,15,85,84,85,22,36,Yes
800121,medio_bajo,bajo,medio_bajo,medio_bajo,medio_alto,medio_bajo,medio,alto,medio_alto,medio_alto,bajo,30,36,67,70,72,21,44,15,67,83,45,85,No
800122,alto,medio_bajo,medio_alto,medio_bajo,medio_bajo,alto,medio_bajo,medio_bajo,alto,medio_bajo,bajo,70,63,61,30,36,43,64,75,85,28,21,83,Yes
800123,bajo,bajo,medio_alto,medio_alto,bajo,medio_bajo,medio_bajo,medio,medio,bajo,medio,70,32,38,37,20,23,85,75,50,15,87,85,Yes
800124,bajo,medio_bajo,bajo,bajo,alto,medio_alto,bajo,medio,bajo,medio_alto,bajo,30,30,57,49,15,85,76,85,57,37,42,75,Yes
800125,medio_bajo,bajo,medio_bajo,medio_alto,medio_bajo,alto,alto,alto,bajo,alto,medio_bajo,70,70,30,70,15,24,85,85,85,15,84,15,No
800126,alto,medio,bajo,medio,bajo,alto,medio_alto,bajo,medio,medio,bajo,51,30,70,70,77,85,85,60,38,31,40,45,Yes
800127,bajo,medio_alto,medio,alto,medio_alto,bajo,alto,alto,bajo,medio_alto,medio_bajo,30,30,70,30,22,44,62,41,35,15,44,80,Yes
800128,medio_bajo,medio,alto,medio_bajo,medio,alto,medio_bajo,alto,alto,medio,medio,70,30,70,70,80,26,74,53,52,25,50,77,Yes
800129,medio_bajo,alto,medio,alto,bajo,medio,medio,medio_bajo,medio_alto,medio_alto,medio,30,70,70,70,69,35,25,33,31,62,74,15,Yes
800130,medio_bajo,medio_bajo,medio,alto,bajo,medio_alto,bajo,medio_alto,medio,medio_alto,medio_alto,70,30,31,70,31,64,62,65,33,15,70,70,Yes
800131,medio_bajo,medio_bajo,medio_alto,bajo,medio_bajo,medio,medio,bajo,medio,alto,bajo,46,58,67,70,85,63,68,17,42,76,2,27,Yes
800132,medio_bajo,bajo,medio_bajo,alto,bajo,medio_bajo,medio_bajo,medio,bajo,bajo,alto,30,30,30,70,77,57,36,15,15,67,42,30,Yes
800133,medio_bajo,medio,medio_bajo,medio,medio_bajo,medio,medio_bajo,alto,medio,medio_bajo,medio_alto,70,70,58,30,36,33,85,70,27,40,95,24,No
800134,medio_alto,alto,alto,bajo,bajo,alto,alto,medio,medio_bajo,bajo,medio_alto,30,58,62,36,28,46,81,35,63,52,77,49,No
800135,alto,medio,bajo,alto,bajo,alto,medio_bajo,bajo,medio_alto,alto,medio_bajo,40,49,63,56,16,63,46,55,85,30,38,56,Yes
800136,bajo,medio_alto,medio_alto,bajo,alto,alto,alto,alto,medio_bajo,medio_bajo,alto,63,45,53,40,67,36,85,27,38,20,43,50,Yes
800137,alto,medio_bajo,bajo,medio_alto,medio,medio_bajo,medio_alto,alto,medio_alto,medio_alto,medio_bajo,30,65,30,70,85,57,85,75,85,15,42,79,No
800138,alto,alto,bajo,medio,medio,medio_bajo,alto,bajo,bajo,alto,bajo,30,68,40,67,85,37,52,15,62,85,77,34,Yes
800139,alto,medio_alto,medio_alto,alto,alto,alto,bajo,bajo,medio,alto,medio,30,43,70,70,85,53,15,15,15,15,76,85,No
800140,medio,medio_bajo,medio_alto,medio_alto,medio_alto,medio,alto,medio_bajo,medio_alto,bajo,medio,70,70,34,50,85,85,40,15,15,15,29,85,No
800141,medio,bajo,medio_bajo,medio,alto,medio_bajo,medio_bajo,medio_bajo,alto,bajo,medio,70,68,59,70,72,55,65,85,19,48,63,15,No
800142,medio_bajo,medio,medio,medio_bajo,medio_alto,medio,bajo,alto,medio_alto,medio_alto,alto,41,41,30,70,25,59,15,73,15,29,35,52,No
800143,medio,medio,medio,medio_bajo,alto,medio_alto,medio,medio_bajo,medio_alto,alto,alto,58,30,68,70,85,58,62,75,65,15,33,44,Yes
800144,alto,medio_bajo,alto,alto,bajo,medio,medio_bajo,bajo,medio_alto,medio,medio_bajo,70,59,70,70,59,45,15,85,77,69,35,15,Yes
800145,medio,medio_alto,bajo,medio_alto,medio_alto,medio_bajo,bajo,medio_bajo,alto,medio,medio,30,30,32,70,15,50,85,38,29,41,12,26,No
800146,medio,medio,medio_bajo,medio_alto,medio,medio_alto,medio,medio_bajo,alto,medio_bajo,medio_alto,48,30,70,36,85,67,80,19,62,16,48,59,Yes
800147,medio,medio_alto,medio_bajo,bajo,medio_bajo,medio,medio_alto,alto,medio_alto,medio_bajo,medio_alto,30,32,30,39,18,15,49,45,29,17,80,85,No
800148,medio,bajo,medio,medio,medio_bajo,bajo,medio_alto,bajo,alto,medio,medio,70,30,70,30,53,73,42,15,34,30,53,38,No
800149,alto,medio_alto,medio_bajo,medio_alto,alto,medio_alto,alto,medio,alto,bajo,medio,70,70,70,30,54,57,65,76,54,48,70,84,No
800150,alto,alto,bajo,alto,medio_bajo,bajo,bajo,medio_bajo,medio_bajo,bajo,medio,30,61,30,30,34,85,45,85,17,19,95,60,Yes
800151,medio,bajo,medio,alto,bajo,bajo,bajo,bajo,medio_bajo,medio_bajo,medio,70,70,70,70,79,42,55,68,46,85,96,17,No
800152,medio,medio_alto,medio_alto,medio,alto,bajo,alto,medio,medio_bajo,medio_bajo,bajo,70,70,57,70,85,15,85,85,85,23,47,79,No
800153,bajo,medio,medio_bajo,medio,medio_bajo,medio,bajo,medio,medio_alto,medio,alto,42,44,30,41,66,40,16,15,55,85,23,85,Yes
800154,medio_alto,medio,bajo,medio,bajo,medio_bajo,bajo,medio,medio_alto,medio_bajo,medio_alto,70,70,70,30,60,15,67,85,15,47,39,81,Yes
800155,bajo,medio_bajo,medio_bajo,medio,alto,alto,medio_bajo,medio_alto,alto,bajo,bajo,30,30,41,70,60,18,46,60,39,58,27,35,No
800156,medio,medio_bajo,medio_alto,bajo,medio,bajo,medio_bajo,medio_bajo,medio_alto,bajo,medio_alto,30,30,30,57,85,85,78,58,66,85,30,81,Yes
800157,medio,medio_alto,bajo,medio_bajo,alto,medio_alto,medio_alto,medio,medio_alto,medio,alto,30,70,68,34,16,16,35,60,19,43,36,15,Yes
800158,medio,alto,alto,medio_alto,bajo,medio_bajo,medio_alto,medio,medio,medio,medio_alto,47,43,30,49,85,83,33,15,60,85,61,15,Yes
800159,medio_bajo,bajo,bajo,medio_alto,medio_bajo,bajo,medio_bajo,medio,alto,medio_bajo,medio_bajo,70,64,70,70,85,77,15,15,24,48,20,27,Yes
800160,bajo,bajo,medio_alto,alto,medio,medio_bajo,medio,medio_bajo,alto,bajo,medio,70,70,30,70,37,33,85,30,39,53,13,75,No
800161,medio,medio_alto,bajo,bajo,alto,medio_bajo,alto,alto,medio,medio_alto,medio,55,33,66,47,15,54,77,79,64,29,96,20,Yes
800162,medio_bajo,medio_alto,medio_bajo,medio,medio_bajo,medio_alto,medio,medio_bajo,medio,bajo,alto,70,70,70,70,85,16,59,15,74,64,61,23,Yes
800163,alto,alto,medio_bajo,medio,medio,bajo,bajo,medio_bajo,medio_bajo,medio_bajo,medio_alto,30,64,70,70,49,82,80,74,20,75,42,58,Yes
800164,medio_bajo,bajo,bajo,bajo,alto,bajo,bajo,medio_alto,bajo,medio,medio_bajo,70,70,45,70,15,15,62,43,33,65,72,27,Yes
800165,medio_alto,bajo,medio_bajo,alto,medio_alto,medio,bajo,medio_alto,medio_bajo,bajo,medio_bajo,70,30,50,51,85,31,39,73,81,39,89,15,Yes
800166,alto,medio,medio_alto,medio_bajo,alto,bajo,medio_alto,medio,medio,medio_bajo,medio_alto,70,40,30,70,46,46,59,15,75,16,88,15,Yes
800167,medio_alto,bajo,bajo,alto,medio,medio,medio_bajo,medio_alto,alto,bajo,medio_bajo,44,70,70,31,15,17,71,15,85,17,97,33,Yes
